pathway	external_id	source	ensembl_ids
Vitamin digestion and absorption - Mus musculus (mouse)	path:mmu04977	KEGG	ENSMUSG00000027463,ENSMUSG00000020432,ENSMUSG00000031220,ENSMUSG00000028003,ENSMUSG00000020829,ENSMUSG00000032083,ENSMUSG00000032080,ENSMUSG00000046008,ENSMUSG00000024354,ENSMUSG00000037936,ENSMUSG00000021900,ENSMUSG00000032454,ENSMUSG00000073725,ENSMUSG00000026726,ENSMUSG00000028690,ENSMUSG00000001436,ENSMUSG00000023088,ENSMUSG00000024682,ENSMUSG00000040918,ENSMUSG00000001773,ENSMUSG00000029134,ENSMUSG00000006641,ENSMUSG00000020609,ENSMUSG00000038496
Steroid biosynthesis - Mus musculus (mouse)	path:mmu00100	KEGG	ENSMUSG00000026675,ENSMUSG00000022351,ENSMUSG00000001467,ENSMUSG00000031168,ENSMUSG00000026818,ENSMUSG00000058454,ENSMUSG00000031349,ENSMUSG00000024781,ENSMUSG00000031604,ENSMUSG00000038567,ENSMUSG00000023045,ENSMUSG00000032018,ENSMUSG00000034926,ENSMUSG00000033105,ENSMUSG00000006724,ENSMUSG00000030670,ENSMUSG00000021273,ENSMUSG00000026600,ENSMUSG00000024799
Riboflavin metabolism - Mus musculus (mouse)	path:mmu00740	KEGG	ENSMUSG00000002103,ENSMUSG00000042642,ENSMUSG00000040466,ENSMUSG00000024712,ENSMUSG00000019989,ENSMUSG00000001348,ENSMUSG00000044573,ENSMUSG00000037370
Fatty acid biosynthesis - Mus musculus (mouse)	path:mmu00061	KEGG	ENSMUSG00000032883,ENSMUSG00000048755,ENSMUSG00000042010,ENSMUSG00000031278,ENSMUSG00000024209,ENSMUSG00000026645,ENSMUSG00000024981,ENSMUSG00000021786,ENSMUSG00000024207,ENSMUSG00000032281,ENSMUSG00000020333,ENSMUSG00000020532,ENSMUSG00000018796,ENSMUSG00000025153
Collecting duct acid secretion - Mus musculus (mouse)	path:mmu04966	KEGG	ENSMUSG00000006269,ENSMUSG00000027562,ENSMUSG00000039105,ENSMUSG00000038600,ENSMUSG00000006574,ENSMUSG00000031449,ENSMUSG00000019210,ENSMUSG00000005553,ENSMUSG00000038023,ENSMUSG00000053375,ENSMUSG00000024403,ENSMUSG00000026394,ENSMUSG00000028238,ENSMUSG00000022295,ENSMUSG00000015575,ENSMUSG00000006273,ENSMUSG00000024121,ENSMUSG00000020566,ENSMUSG00000004285,ENSMUSG00000019302,ENSMUSG00000001750,ENSMUSG00000052459,ENSMUSG00000017756,ENSMUSG00000013160,ENSMUSG00000021114,ENSMUSG00000039347,ENSMUSG00000116394,ENSMUSG00000006216
Proximal tubule bicarbonate reclamation - Mus musculus (mouse)	path:mmu04964	KEGG	ENSMUSG00000025792,ENSMUSG00000027562,ENSMUSG00000000805,ENSMUSG00000010064,ENSMUSG00000026576,ENSMUSG00000040907,ENSMUSG00000026103,ENSMUSG00000021794,ENSMUSG00000040618,ENSMUSG00000020321,ENSMUSG00000007107,ENSMUSG00000036123,ENSMUSG00000027513,ENSMUSG00000044005,ENSMUSG00000033161,ENSMUSG00000004655,ENSMUSG00000007097,ENSMUSG00000059412,ENSMUSG00000060961,ENSMUSG00000032412,ENSMUSG00000041329,ENSMUSG00000016327
ketogenesis	PWY66-367	MouseCyc	ENSMUSG00000028672,ENSMUSG00000028167,ENSMUSG00000046598,ENSMUSG00000027875,ENSMUSG00000032047,ENSMUSG00000023832,ENSMUSG00000093930,ENSMUSG00000007908
Hippo signaling pathway - multiple species - Mus musculus (mouse)	path:mmu04392	KEGG	ENSMUSG00000006262,ENSMUSG00000030796,ENSMUSG00000030353,ENSMUSG00000010067,ENSMUSG00000009073,ENSMUSG00000022178,ENSMUSG00000053110,ENSMUSG00000040021,ENSMUSG00000116422,ENSMUSG00000036862,ENSMUSG00000021067,ENSMUSG00000042129,ENSMUSG00000043131,ENSMUSG00000048285,ENSMUSG00000046743,ENSMUSG00000018849,ENSMUSG00000022433,ENSMUSG00000027803,ENSMUSG00000027339,ENSMUSG00000029370,ENSMUSG00000025239,ENSMUSG00000021959,ENSMUSG00000055320,ENSMUSG00000030774,ENSMUSG00000036459,ENSMUSG00000002249,ENSMUSG00000022329
Pantothenate and CoA biosynthesis - Mus musculus (mouse)	path:mmu00770	KEGG	ENSMUSG00000025894,ENSMUSG00000018846,ENSMUSG00000001755,ENSMUSG00000030268,ENSMUSG00000033308,ENSMUSG00000022304,ENSMUSG00000033427,ENSMUSG00000030826,ENSMUSG00000033610,ENSMUSG00000020010,ENSMUSG00000037440,ENSMUSG00000019989,ENSMUSG00000028636,ENSMUSG00000056880,ENSMUSG00000029056,ENSMUSG00000063849,ENSMUSG00000037514,ENSMUSG00000037370
Synthesis and degradation of ketone bodies - Mus musculus (mouse)	path:mmu00072	KEGG	ENSMUSG00000076436,ENSMUSG00000022186,ENSMUSG00000028672,ENSMUSG00000028167,ENSMUSG00000046598,ENSMUSG00000027875,ENSMUSG00000076438,ENSMUSG00000032047,ENSMUSG00000023832,ENSMUSG00000093930,ENSMUSG00000007908
Arginine biosynthesis - Mus musculus (mouse)	path:mmu00220	KEGG	ENSMUSG00000025991,ENSMUSG00000022546,ENSMUSG00000076441,ENSMUSG00000021125,ENSMUSG00000044005,ENSMUSG00000026473,ENSMUSG00000048217,ENSMUSG00000023262,ENSMUSG00000031173,ENSMUSG00000026103,ENSMUSG00000028978,ENSMUSG00000021794,ENSMUSG00000025190,ENSMUSG00000020826,ENSMUSG00000019987,ENSMUSG00000031672,ENSMUSG00000025533,ENSMUSG00000031700,ENSMUSG00000029361
One carbon pool by folate - Mus musculus (mouse)	path:mmu00670	KEGG	ENSMUSG00000032607,ENSMUSG00000020256,ENSMUSG00000026192,ENSMUSG00000029009,ENSMUSG00000030088,ENSMUSG00000079427,ENSMUSG00000066442,ENSMUSG00000021311,ENSMUSG00000021707,ENSMUSG00000020534,ENSMUSG00000022962,ENSMUSG00000021048,ENSMUSG00000001155,ENSMUSG00000025747,ENSMUSG00000040675,ENSMUSG00000059183,ENSMUSG00000029376,ENSMUSG00000025403,ENSMUSG00000005667
Sulfur metabolism - Mus musculus (mouse)	path:mmu00920	KEGG	ENSMUSG00000066324,ENSMUSG00000026617,ENSMUSG00000028032,ENSMUSG00000064254,ENSMUSG00000049858,ENSMUSG00000005803,ENSMUSG00000024899,ENSMUSG00000071711,ENSMUSG00000044986
Phenylalanine metabolism - Mus musculus (mouse)	path:mmu00360	KEGG	ENSMUSG00000019102,ENSMUSG00000025037,ENSMUSG00000031672,ENSMUSG00000024885,ENSMUSG00000040147,ENSMUSG00000071633,ENSMUSG00000078651,ENSMUSG00000020051,ENSMUSG00000020182,ENSMUSG00000069873,ENSMUSG00000029445,ENSMUSG00000019326,ENSMUSG00000063683,ENSMUSG00000024903,ENSMUSG00000001670,ENSMUSG00000037263,ENSMUSG00000033307,ENSMUSG00000025190,ENSMUSG00000015134,ENSMUSG00000075296,ENSMUSG00000074141,ENSMUSG00000024694
Caffeine metabolism - Mus musculus (mouse)	path:mmu00232	KEGG	ENSMUSG00000024066,ENSMUSG00000056426,ENSMUSG00000028186,ENSMUSG00000051147,ENSMUSG00000025588,ENSMUSG00000032310
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Mus musculus (mouse)	path:mmu00563	KEGG	ENSMUSG00000031381,ENSMUSG00000039047,ENSMUSG00000073678,ENSMUSG00000045140,ENSMUSG00000021340,ENSMUSG00000029263,ENSMUSG00000022561,ENSMUSG00000026698,ENSMUSG00000010607,ENSMUSG00000079469,ENSMUSG00000017721,ENSMUSG00000021120,ENSMUSG00000026810,ENSMUSG00000014245,ENSMUSG00000056536,ENSMUSG00000045625,ENSMUSG00000038383,ENSMUSG00000028454,ENSMUSG00000043257,ENSMUSG00000023791,ENSMUSG00000025728,ENSMUSG00000041958,ENSMUSG00000022940,ENSMUSG00000024145,ENSMUSG00000050229
Phenylalanine, tyrosine and tryptophan biosynthesis - Mus musculus (mouse)	path:mmu00400	KEGG	ENSMUSG00000020051,ENSMUSG00000025190,ENSMUSG00000001670,ENSMUSG00000069873,ENSMUSG00000074141,ENSMUSG00000024903,ENSMUSG00000031672
Non-homologous end-joining - Mus musculus (mouse)	path:mmu03450	KEGG	ENSMUSG00000026648,ENSMUSG00000031928,ENSMUSG00000025218,ENSMUSG00000049717,ENSMUSG00000022471,ENSMUSG00000020380,ENSMUSG00000025014,ENSMUSG00000020474,ENSMUSG00000022672,ENSMUSG00000021615,ENSMUSG00000026162,ENSMUSG00000026187,ENSMUSG00000024742
Nitrogen metabolism - Mus musculus (mouse)	path:mmu00910	KEGG	ENSMUSG00000025317,ENSMUSG00000041261,ENSMUSG00000090236,ENSMUSG00000027562,ENSMUSG00000027559,ENSMUSG00000000805,ENSMUSG00000026473,ENSMUSG00000027556,ENSMUSG00000032373,ENSMUSG00000031373,ENSMUSG00000038526,ENSMUSG00000028463,ENSMUSG00000031883,ENSMUSG00000028972,ENSMUSG00000021794,ENSMUSG00000025991,ENSMUSG00000027555
Asthma - Mus musculus (mouse)	path:mmu05310	KEGG	ENSMUSG00000021538,ENSMUSG00000060586,ENSMUSG00000000869,ENSMUSG00000017652,ENSMUSG00000058715,ENSMUSG00000020383,ENSMUSG00000037548,ENSMUSG00000024334,ENSMUSG00000016529,ENSMUSG00000024401,ENSMUSG00000020676,ENSMUSG00000031132,ENSMUSG00000079547,ENSMUSG00000024680,ENSMUSG00000073421,ENSMUSG00000036322,ENSMUSG00000037649,ENSMUSG00000052234,ENSMUSG00000036594,ENSMUSG00000036117,ENSMUSG00000027073,ENSMUSG00000018914,ENSMUSG00000005339,ENSMUSG00000041538
Butanoate metabolism - Mus musculus (mouse)	path:mmu00650	KEGG	ENSMUSG00000025465,ENSMUSG00000093930,ENSMUSG00000070880,ENSMUSG00000020988,ENSMUSG00000035936,ENSMUSG00000029482,ENSMUSG00000030972,ENSMUSG00000027984,ENSMUSG00000047026,ENSMUSG00000030935,ENSMUSG00000022853,ENSMUSG00000046598,ENSMUSG00000007908,ENSMUSG00000076436,ENSMUSG00000028672,ENSMUSG00000029545,ENSMUSG00000076438,ENSMUSG00000057880,ENSMUSG00000023832,ENSMUSG00000033533,ENSMUSG00000022186,ENSMUSG00000028167,ENSMUSG00000030945,ENSMUSG00000026787,ENSMUSG00000027875,ENSMUSG00000025745,ENSMUSG00000032047
Folate biosynthesis - Mus musculus (mouse)	path:mmu00790	KEGG	ENSMUSG00000037580,ENSMUSG00000009566,ENSMUSG00000064120,ENSMUSG00000039616,ENSMUSG00000028766,ENSMUSG00000047454,ENSMUSG00000021496,ENSMUSG00000040046,ENSMUSG00000015806,ENSMUSG00000001642,ENSMUSG00000026246,ENSMUSG00000079440,ENSMUSG00000051483,ENSMUSG00000029762,ENSMUSG00000020051,ENSMUSG00000033735,ENSMUSG00000061758,ENSMUSG00000036500,ENSMUSG00000021707,ENSMUSG00000015536,ENSMUSG00000073987,ENSMUSG00000032067,ENSMUSG00000006764,ENSMUSG00000052131,ENSMUSG00000000214,ENSMUSG00000020098
Maturity onset diabetes of the young - Mus musculus (mouse)	path:mmu04950	KEGG	ENSMUSG00000001566,ENSMUSG00000047591,ENSMUSG00000029556,ENSMUSG00000040891,ENSMUSG00000111314,ENSMUSG00000044312,ENSMUSG00000041798,ENSMUSG00000037025,ENSMUSG00000029644,ENSMUSG00000041237,ENSMUSG00000022528,ENSMUSG00000020679,ENSMUSG00000017688,ENSMUSG00000035187,ENSMUSG00000026398,ENSMUSG00000024986,ENSMUSG00000019900,ENSMUSG00000043013,ENSMUSG00000027690,ENSMUSG00000027434,ENSMUSG00000035804,ENSMUSG00000029706,ENSMUSG00000041681,ENSMUSG00000027168,ENSMUSG00000052271,ENSMUSG00000034701,ENSMUSG00000017950,ENSMUSG00000000215
Terpenoid backbone biosynthesis - Mus musculus (mouse)	path:mmu00900	KEGG	ENSMUSG00000027952,ENSMUSG00000093930,ENSMUSG00000021302,ENSMUSG00000006517,ENSMUSG00000015994,ENSMUSG00000041939,ENSMUSG00000083287,ENSMUSG00000024889,ENSMUSG00000043207,ENSMUSG00000021670,ENSMUSG00000059743,ENSMUSG00000029998,ENSMUSG00000038240,ENSMUSG00000032047,ENSMUSG00000058258,ENSMUSG00000033520,ENSMUSG00000039662,ENSMUSG00000033373,ENSMUSG00000023832,ENSMUSG00000023068,ENSMUSG00000026784,ENSMUSG00000027875,ENSMUSG00000012117
Phototransduction - Mus musculus (mouse)	path:mmu04744	KEGG	ENSMUSG00000033765,ENSMUSG00000034452,ENSMUSG00000019370,ENSMUSG00000036438,ENSMUSG00000099269,ENSMUSG00000067220,ENSMUSG00000034837,ENSMUSG00000042282,ENSMUSG00000032246,ENSMUSG00000001175,ENSMUSG00000029491,ENSMUSG00000074003,ENSMUSG00000024575,ENSMUSG00000023982,ENSMUSG00000020599,ENSMUSG00000031789,ENSMUSG00000025386,ENSMUSG00000020890,ENSMUSG00000030324,ENSMUSG00000063130,ENSMUSG00000009108,ENSMUSG00000029663,ENSMUSG00000031450,ENSMUSG00000023979,ENSMUSG00000029064,ENSMUSG00000056055,ENSMUSG00000116418,ENSMUSG00000116266,ENSMUSG00000020907
Mismatch repair - Mus musculus (mouse)	path:mmu03430	KEGG	ENSMUSG00000029191,ENSMUSG00000020471,ENSMUSG00000056394,ENSMUSG00000028884,ENSMUSG00000014850,ENSMUSG00000030726,ENSMUSG00000029363,ENSMUSG00000000751,ENSMUSG00000033970,ENSMUSG00000024151,ENSMUSG00000038644,ENSMUSG00000032498,ENSMUSG00000039748,ENSMUSG00000021245,ENSMUSG00000022881,ENSMUSG00000097508,ENSMUSG00000023104,ENSMUSG00000024854,ENSMUSG00000029911,ENSMUSG00000012483,ENSMUSG00000005370,ENSMUSG00000027342,ENSMUSG00000075569,ENSMUSG00000079109
RNA polymerase - Mus musculus (mouse)	path:mmu03020	KEGG	ENSMUSG00000027427,ENSMUSG00000005198,ENSMUSG00000039771,ENSMUSG00000004667,ENSMUSG00000028104,ENSMUSG00000022476,ENSMUSG00000028099,ENSMUSG00000029642,ENSMUSG00000049553,ENSMUSG00000024258,ENSMUSG00000035834,ENSMUSG00000036315,ENSMUSG00000020561,ENSMUSG00000067148,ENSMUSG00000038489,ENSMUSG00000038628,ENSMUSG00000031783,ENSMUSG00000030880,ENSMUSG00000019738,ENSMUSG00000033020,ENSMUSG00000021018,ENSMUSG00000028318,ENSMUSG00000025280,ENSMUSG00000029250,ENSMUSG00000027395,ENSMUSG00000000776,ENSMUSG00000071662,ENSMUSG00000034453
Glycosphingolipid biosynthesis - lacto and neolacto series - Mus musculus (mouse)	path:mmu00601	KEGG	ENSMUSG00000029431,ENSMUSG00000040364,ENSMUSG00000008461,ENSMUSG00000074892,ENSMUSG00000015787,ENSMUSG00000034780,ENSMUSG00000021360,ENSMUSG00000028413,ENSMUSG00000030283,ENSMUSG00000032038,ENSMUSG00000043300,ENSMUSG00000052423,ENSMUSG00000031803,ENSMUSG00000036587,ENSMUSG00000055978,ENSMUSG00000107167,ENSMUSG00000049307,ENSMUSG00000047878,ENSMUSG00000033849,ENSMUSG00000035778,ENSMUSG00000028541,ENSMUSG00000022793,ENSMUSG00000055373,ENSMUSG00000028538,ENSMUSG00000022747,ENSMUSG00000051650,ENSMUSG00000022686
Ubiquinone and other terpenoid-quinone biosynthesis - Mus musculus (mouse)	path:mmu00130	KEGG	ENSMUSG00000001670,ENSMUSG00000103019,ENSMUSG00000003849,ENSMUSG00000028247,ENSMUSG00000096145,ENSMUSG00000041733,ENSMUSG00000029319,ENSMUSG00000053460,ENSMUSG00000066735,ENSMUSG00000029445,ENSMUSG00000021235,ENSMUSG00000030652
Thiamine metabolism - Mus musculus (mouse)	path:mmu00730	KEGG	ENSMUSG00000028527,ENSMUSG00000026807,ENSMUSG00000026817,ENSMUSG00000029735,ENSMUSG00000026246,ENSMUSG00000028792,ENSMUSG00000039058,ENSMUSG00000045691,ENSMUSG00000036500,ENSMUSG00000041323,ENSMUSG00000031851,ENSMUSG00000079440,ENSMUSG00000027618,ENSMUSG00000044573,ENSMUSG00000028766
Sulfur relay system - Mus musculus (mouse)	path:mmu04122	KEGG	ENSMUSG00000049482,ENSMUSG00000069020,ENSMUSG00000074576,ENSMUSG00000027618,ENSMUSG00000038888,ENSMUSG00000071711,ENSMUSG00000044986,ENSMUSG00000015536
Histidine metabolism - Mus musculus (mouse)	path:mmu00340	KEGG	ENSMUSG00000097064,ENSMUSG00000029455,ENSMUSG00000019102,ENSMUSG00000010025,ENSMUSG00000025037,ENSMUSG00000075296,ENSMUSG00000053644,ENSMUSG00000024885,ENSMUSG00000040147,ENSMUSG00000024726,ENSMUSG00000024644,ENSMUSG00000035561,ENSMUSG00000020774,ENSMUSG00000075289,ENSMUSG00000056162,ENSMUSG00000001155,ENSMUSG00000020017,ENSMUSG00000037263,ENSMUSG00000026687,ENSMUSG00000026986,ENSMUSG00000034456,ENSMUSG00000015134,ENSMUSG00000029811,ENSMUSG00000027360,ENSMUSG00000015890
Taurine and hypotaurine metabolism - Mus musculus (mouse)	path:mmu00430	KEGG	ENSMUSG00000116486,ENSMUSG00000023044,ENSMUSG00000057134,ENSMUSG00000006345,ENSMUSG00000006344,ENSMUSG00000070880,ENSMUSG00000033022,ENSMUSG00000027603,ENSMUSG00000056880,ENSMUSG00000039653,ENSMUSG00000026787,ENSMUSG00000040471
Protein export - Mus musculus (mouse)	path:mmu03060	KEGG	ENSMUSG00000053317,ENSMUSG00000026864,ENSMUSG00000078974,ENSMUSG00000009549,ENSMUSG00000024516,ENSMUSG00000027706,ENSMUSG00000019802,ENSMUSG00000026511,ENSMUSG00000042670,ENSMUSG00000048355,ENSMUSG00000025816,ENSMUSG00000014504,ENSMUSG00000054408,ENSMUSG00000073079,ENSMUSG00000030082,ENSMUSG00000112449,ENSMUSG00000000959,ENSMUSG00000048040,ENSMUSG00000020780,ENSMUSG00000036323,ENSMUSG00000032553,ENSMUSG00000025724,ENSMUSG00000032042,ENSMUSG00000021917,ENSMUSG00000056899,ENSMUSG00000081306,ENSMUSG00000035227,ENSMUSG00000079108
Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Mus musculus (mouse)	path:mmu00534	KEGG	ENSMUSG00000027971,ENSMUSG00000044499,ENSMUSG00000027977,ENSMUSG00000020868,ENSMUSG00000030657,ENSMUSG00000051022,ENSMUSG00000046321,ENSMUSG00000047759,ENSMUSG00000027198,ENSMUSG00000053465,ENSMUSG00000070407,ENSMUSG00000027963,ENSMUSG00000045216,ENSMUSG00000039308,ENSMUSG00000054008,ENSMUSG00000040151,ENSMUSG00000032252,ENSMUSG00000071649,ENSMUSG00000062184,ENSMUSG00000061731,ENSMUSG00000050796,ENSMUSG00000021978,ENSMUSG00000028838,ENSMUSG00000021504
Glycosaminoglycan degradation - Mus musculus (mouse)	path:mmu00531	KEGG	ENSMUSG00000010047,ENSMUSG00000010051,ENSMUSG00000021665,ENSMUSG00000029682,ENSMUSG00000001751,ENSMUSG00000035273,ENSMUSG00000015027,ENSMUSG00000034707,ENSMUSG00000029680,ENSMUSG00000037260,ENSMUSG00000025232,ENSMUSG00000035847,ENSMUSG00000029679,ENSMUSG00000074852,ENSMUSG00000029678,ENSMUSG00000005043,ENSMUSG00000045594,ENSMUSG00000025534,ENSMUSG00000036091,ENSMUSG00000042082,ENSMUSG00000033540
Glycosaminoglycan biosynthesis - keratan sulfate - Mus musculus (mouse)	path:mmu00533	KEGG	ENSMUSG00000031749,ENSMUSG00000035930,ENSMUSG00000022793,ENSMUSG00000027221,ENSMUSG00000051650,ENSMUSG00000052423,ENSMUSG00000013846,ENSMUSG00000028541,ENSMUSG00000028538,ENSMUSG00000079445,ENSMUSG00000021065,ENSMUSG00000028413,ENSMUSG00000031952,ENSMUSG00000033350
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Mus musculus (mouse)	path:mmu00532	KEGG	ENSMUSG00000036599,ENSMUSG00000074916,ENSMUSG00000058152,ENSMUSG00000057337,ENSMUSG00000036356,ENSMUSG00000021504,ENSMUSG00000071649,ENSMUSG00000034612,ENSMUSG00000038181,ENSMUSG00000039497,ENSMUSG00000050796,ENSMUSG00000030930,ENSMUSG00000042042,ENSMUSG00000037347,ENSMUSG00000032640,ENSMUSG00000020868,ENSMUSG00000030657,ENSMUSG00000047712,ENSMUSG00000032997,ENSMUSG00000056643
Primary bile acid biosynthesis - Mus musculus (mouse)	path:mmu00120	KEGG	ENSMUSG00000050445,ENSMUSG00000021259,ENSMUSG00000028603,ENSMUSG00000024507,ENSMUSG00000039519,ENSMUSG00000017307,ENSMUSG00000050370,ENSMUSG00000028240,ENSMUSG00000042289,ENSMUSG00000022244,ENSMUSG00000023963,ENSMUSG00000026170,ENSMUSG00000030382,ENSMUSG00000021751,ENSMUSG00000039653,ENSMUSG00000038641
Glycosphingolipid biosynthesis - ganglio series - Mus musculus (mouse)	path:mmu00604	KEGG	ENSMUSG00000030283,ENSMUSG00000026811,ENSMUSG00000021665,ENSMUSG00000067370,ENSMUSG00000039037,ENSMUSG00000027822,ENSMUSG00000013846,ENSMUSG00000025232,ENSMUSG00000025425,ENSMUSG00000052544,ENSMUSG00000056091,ENSMUSG00000079442,ENSMUSG00000045594,ENSMUSG00000031749,ENSMUSG00000006731
